"Age, ybp",Age (calender),BSi MAR (mgSiO2/cm2y),,,"Age, cal ybp",Age (calender),BSi MAR (mgSiO2/cm2y)
(Years before 2002),,,,,(Years before 2002),,
11263,-9261,3.83,,,13244,-11242,1.87
11288,-9286,4.03,,,13289,-11287,2.20
11313,-9311,3.03,,,13333,-11331,1.90
11338,-9336,4.44,,,13378,-11376,1.61
11362,-9360,6.11,,,13422,-11420,1.88
11387,-9385,4.13,,,13467,-11465,2.06
11412,-9410,5.81,,,13511,-11509,2.24
11436,-9434,4.04,,,13555,-11553,2.35
11461,-9459,4.63,,,13600,-11598,2.59
11486,-9484,3.73,,,13644,-11642,2.73
11510,-9508,2.59,,,13689,-11687,1.78
11535,-9533,2.88,,,13733,-11731,2.13
11560,-9558,3.13,,,13778,-11776,1.88
11585,-9583,2.32,,,13822,-11820,3.41
11609,-9607,2.60,,,13867,-11865,1.78
11634,-9632,2.30,,,13911,-11909,1.66
11659,-9657,2.47,,,13955,-11953,2.54
11685,-9683,2.93,,,14000,-11998,2.50
11710,-9708,2.92,,,14044,-12042,2.66
11736,-9734,3.31,,,14089,-12087,4.08
11761,-9759,3.58,,,14133,-12131,3.32
11787,-9785,2.80,,,14178,-12176,3.43
11812,-9810,2.63,,,14222,-12220,2.80
11838,-9836,4.50,,,14267,-12265,2.55
11863,-9861,6.02,,,14311,-12309,3.22
11889,-9887,6.20,,,14356,-12354,3.42
11914,-9912,6.27,,,14400,-12398,3.32
11940,-9938,5.45,,,14444,-12442,2.56
11965,-9963,5.91,,,14489,-12487,2.43
11991,-9989,5.84,,,14533,-12531,2.66
12016,-10014,6.79,,,14578,-12576,2.75
12041,-10039,7.50,,,14622,-12620,2.96
12067,-10065,7.01,,,14667,-12665,2.76
12092,-10090,6.06,,,14711,-12709,3.29
12118,-10116,5.32,,,14756,-12754,3.27
12143,-10141,4.28,,,14800,-12798,3.08
12169,-10167,5.75,,,14844,-12842,2.98
12194,-10192,7.40,,,14889,-12887,2.55
12220,-10218,9.26,,,14933,-12931,3.38
12245,-10243,6.98,,,14978,-12976,3.37
12271,-10269,6.63,,,15022,-13020,4.79
12296,-10294,6.03,,,15067,-13065,4.41
12322,-10320,6.51,,,15111,-13109,5.84
12347,-10345,6.19,,,15156,-13154,3.61
12373,-10371,8.93,,,15200,-13198,1.31
12398,-10396,6.93,,,15255,-13253,2.51
12423,-10421,6.51,,,15310,-13308,3.36
12449,-10447,7.05,,,15365,-13363,3.96
12474,-10472,8.24,,,15419,-13417,3.60
12500,-10498,7.20,,,15474,-13472,3.69
12525,-10523,6.39,,,15529,-13527,3.60
12551,-10549,5.75,,,15584,-13582,3.31
12576,-10574,6.92,,,15639,-13637,3.18
12602,-10600,6.87,,,15694,-13692,3.32
12627,-10625,8.80,,,15749,-13747,3.12
12653,-10651,7.55,,,15804,-13802,2.45
12678,-10676,7.15,,,15858,-13856,2.45
12704,-10702,7.70,,,15913,-13911,2.56
12729,-10727,10.46,,,15968,-13966,2.94
12754,-10752,10.64,,,16023,-14021,3.09
12780,-10778,9.16,,,16078,-14076,1.96
12805,-10803,6.92,,,16133,-14131,2.74
12831,-10829,5.26,,,16188,-14186,2.85
12856,-10854,6.82,,,16243,-14241,3.38
12882,-10880,9.40,,,16297,-14295,2.50
12907,-10905,6.56,,,16352,-14350,2.34
12933,-10931,6.20,,,16407,-14405,1.96
12958,-10956,5.30,,,16462,-14460,2.13
12984,-10982,3.58,,,16517,-14515,2.51
13009,-11007,4.29,,,16572,-14570,2.59
13035,-11033,5.55,,,16627,-14625,2.63
13060,-11058,5.37,,,16681,-14679,2.68
13086,-11084,4.99,,,16736,-14734,2.06
13111,-11109,3.97,,,16791,-14789,2.02
13154,-11152,2.42,,,16846,-14844,2.19
13196,-11194,2.29,,,16901,-14899,2.19
13239,-11237,2.47,,,16956,-14954,2.14
13282,-11280,2.66,,,17011,-15009,1.97
13324,-11322,2.39,,,17066,-15064,2.10
13367,-11365,2.90,,,17120,-15118,2.25
13409,-11407,2.56,,,17175,-15173,2.43
13452,-11450,3.04,,,17230,-15228,1.41
13495,-11493,2.71,,,17285,-15283,1.25
13537,-11535,2.76,,,17316,-15314,2.46
13580,-11578,2.25,,,17347,-15345,2.83
13623,-11621,2.27,,,17378,-15376,3.35
13665,-11663,2.19,,,17408,-15406,2.81
13708,-11706,2.49,,,17439,-15437,3.31
13750,-11748,2.77,,,17470,-15468,2.97
13793,-11791,2.54,,,17501,-15499,3.62
13836,-11834,2.46,,,17532,-15530,3.43
13878,-11876,3.00,,,17563,-15561,3.28
13921,-11919,3.29,,,17593,-15591,3.67
13964,-11962,2.87,,,17624,-15622,3.31
14006,-12004,3.83,,,17655,-15653,3.18
14049,-12047,3.33,,,17686,-15684,3.18
14092,-12090,3.88,,,17717,-15715,3.59
14134,-12132,3.43,,,17748,-15746,4.07
14177,-12175,3.83,,,17779,-15777,4.38
14219,-12217,3.84,,,17809,-15807,4.28
14262,-12260,3.85,,,17840,-15838,4.18
14305,-12303,4.09,,,17871,-15869,4.01
14347,-12345,3.54,,,17902,-15900,3.72
14390,-12388,3.63,,,17933,-15931,3.59
14433,-12431,3.08,,,17964,-15962,3.68
14475,-12473,3.78,,,17994,-15992,4.04
14518,-12516,3.82,,,18025,-16023,4.04
14561,-12559,3.44,,,18056,-16054,4.35
14603,-12601,4.16,,,18087,-16085,4.02
14646,-12644,3.72,,,18118,-16116,4.31
14688,-12686,3.70,,,18149,-16147,3.89
14731,-12729,3.81,,,18180,-16178,3.42
14774,-12772,3.65,,,18210,-16208,3.72
14816,-12814,5.38,,,18241,-16239,4.14
14859,-12857,5.25,,,18272,-16270,3.77
14902,-12900,5.35,,,18303,-16301,3.95
14944,-12942,4.97,,,18334,-16332,3.85
14987,-12985,4.49,,,18365,-16363,3.81
15029,-13027,5.08,,,18396,-16394,3.76
15072,-13070,5.10,,,18426,-16424,3.93
15115,-13113,6.07,,,18457,-16455,3.83
15157,-13155,5.62,,,18488,-16486,4.05
15200,-13198,1.31,,,18519,-16517,4.00
15252,-13250,3.63,,,18550,-16548,4.66
15304,-13302,3.55,,,18581,-16579,4.92
15356,-13354,3.99,,,18611,-16609,4.52
15409,-13407,3.69,,,18642,-16640,4.83
15461,-13459,4.39,,,18673,-16671,4.87
15513,-13511,4.48,,,18704,-16702,5.60
15565,-13563,4.22,,,18735,-16733,5.03
15617,-13615,4.10,,,18766,-16764,4.66
15669,-13667,4.37,,,18797,-16795,4.92
15721,-13719,4.20,,,18827,-16825,4.49
15773,-13771,3.84,,,18858,-16856,4.58
15826,-13824,3.49,,,18889,-16887,4.34
15878,-13876,2.72,,,18920,-16918,3.91
15930,-13928,3.48,,,18951,-16949,3.65
15982,-13980,3.56,,,18982,-16980,3.86
16034,-14032,3.99,,,19012,-17010,3.19
16086,-14084,4.64,,,19043,-17041,3.25
16138,-14136,1.98,,,19074,-17072,3.14
16190,-14188,3.29,,,19105,-17103,3.00
16243,-14241,3.79,,,19149,-17147,2.01
16295,-14293,4.06,,,19192,-17190,2.63
16347,-14345,3.43,,,19236,-17234,2.32
16399,-14397,2.81,,,19279,-17277,2.31
16451,-14449,2.99,,,19323,-17321,2.34
16503,-14501,3.05,,,19366,-17364,2.57
16555,-14553,2.72,,,19410,-17408,2.74
16607,-14605,2.62,,,19453,-17451,2.78
16660,-14658,2.74,,,19497,-17495,2.73
16712,-14710,3.26,,,19540,-17538,2.67
16764,-14762,2.97,,,19584,-17582,2.87
16816,-14814,2.98,,,19628,-17626,2.65
16868,-14866,2.97,,,19671,-17669,2.76
16920,-14918,2.47,,,19715,-17713,2.78
16972,-14970,2.33,,,19758,-17756,2.78
17024,-15022,2.58,,,19802,-17800,2.79
17077,-15075,2.38,,,19845,-17843,2.79
17129,-15127,2.59,,,19889,-17887,2.87
17181,-15179,1.86,,,19932,-17930,2.79
17233,-15231,1.67,,,19976,-17974,3.00
17285,-15283,1.50,,,20019,-18017,2.97
17328,-15326,1.86,,,20063,-18061,3.06
17372,-15370,2.25,,,20106,-18104,2.79
17415,-15413,2.04,,,20150,-18148,3.19
17458,-15456,2.29,,,20194,-18192,3.18
17502,-15500,2.29,,,20237,-18235,3.03
17545,-15543,2.26,,,20281,-18279,3.21
17588,-15586,2.55,,,20324,-18322,3.31
17632,-15630,3.06,,,20368,-18366,2.69
17675,-15673,2.79,,,20411,-18409,2.67
17718,-15716,2.46,,,20455,-18453,3.10
17762,-15760,2.54,,,20498,-18496,2.69
17805,-15803,3.02,,,20542,-18540,2.59
17848,-15846,2.66,,,20585,-18583,2.32
17892,-15890,2.81,,,20629,-18627,2.74
17935,-15933,3.03,,,20673,-18671,3.19
17978,-15976,2.90,,,20716,-18714,3.10
18022,-16020,2.60,,,20760,-18758,3.70
18065,-16063,2.33,,,20803,-18801,4.07
18108,-16106,2.62,,,20847,-18845,3.33
18152,-16150,2.51,,,20890,-18888,3.55
18195,-16193,2.96,,,20934,-18932,3.28
18238,-16236,2.47,,,20977,-18975,3.02
18282,-16280,2.82,,,21021,-19019,3.57
18325,-16323,2.61,,,21064,-19062,3.69
18368,-16366,2.83,,,21108,-19106,4.20
18412,-16410,2.85,,,21151,-19149,4.20
18455,-16453,2.54,,,21195,-19193,4.66
18498,-16496,2.77,,,21238,-19236,4.65
18542,-16540,3.43,,,21280,-19278,
18585,-16583,3.23,,,21323,-19321,
18628,-16626,2.76,,,21366,-19364,
18672,-16670,2.82,,,21408,-19406,
18715,-16713,2.62,,,21451,-19449,
18758,-16756,2.56,,,21504,-19502,2.88
18802,-16800,2.38,,,21558,-19556,
18845,-16843,2.27,,,21611,-19609,
18888,-16886,2.31,,,21664,-19662,
18932,-16930,2.66,,,21717,-19715,
18975,-16973,2.30,,,21771,-19769,
19018,-17016,2.58,,,21824,-19822,
19062,-17060,2.42,,,21877,-19875,
19105,-17103,1.80,,,21930,-19928,
19148,-17146,2.28,,,21984,-19982,
19190,-17188,2.53,,,22037,-20035,
19233,-17231,2.56,,,22090,-20088,2.64
19276,-17274,2.49,,,,,
19318,-17316,2.68,,,,,
19361,-17359,3.04,,,,,
19404,-17402,3.18,,,,,
19446,-17444,3.35,,,,,
19489,-17487,3.28,,,,,
19532,-17530,3.08,,,,,
19574,-17572,3.33,,,,,
19617,-17615,3.18,,,,,
19659,-17657,3.67,,,,,
19702,-17700,3.22,,,,,
19745,-17743,2.74,,,,,
19787,-17785,2.79,,,,,
19830,-17828,3.08,,,,,
19873,-17871,2.74,,,,,
19915,-17913,3.32,,,,,
19958,-17956,2.91,,,,,
20001,-17999,3.00,,,,,
20043,-18041,2.98,,,,,
20086,-18084,2.85,,,,,
20129,-18127,2.76,,,,,
20171,-18169,3.55,,,,,
20214,-18212,3.01,,,,,
20257,-18255,2.84,,,,,
20299,-18297,2.74,,,,,
20342,-18340,3.03,,,,,
20385,-18383,2.67,,,,,
20427,-18425,3.24,,,,,
20470,-18468,3.11,,,,,
20513,-18511,2.89,,,,,
20555,-18553,2.77,,,,,
20598,-18596,3.17,,,,,
20641,-18639,3.28,,,,,
20683,-18681,3.35,,,,,
20726,-18724,3.04,,,,,
20768,-18766,3.00,,,,,
20811,-18809,3.22,,,,,
20854,-18852,3.24,,,,,
20896,-18894,3.35,,,,,
20939,-18937,3.63,,,,,
20982,-18980,4.43,,,,,
21024,-19022,3.77,,,,,
21067,-19065,3.57,,,,,
21110,-19108,4.25,,,,,
21152,-19150,4.43,,,,,
21195,-19193,4.62,,,,,
21238,-19236,3.91,,,,,
21280,-19278,4.10,,,,,
21323,-19321,3.52,,,,,
21366,-19364,3.49,,,,,
21408,-19406,3.88,,,,,
21451,-19449,3.28,,,,,
21494,-19492,3.66,,,,,
21536,-19534,3.78,,,,,
21579,-19577,4.35,,,,,
21621,-19619,4.91,,,,,
21664,-19662,4.02,,,,,
21707,-19705,3.89,,,,,
21749,-19747,4.65,,,,,
21792,-19790,4.58,,,,,
21834,-19832,4.43,,,,,
21877,-19875,4.25,,,,,
21920,-19918,4.25,,,,,
21962,-19960,4.36,,,,,
22005,-20003,4.41,,,,,
22048,-20046,4.56,,,,,
22090,-20088,4.42,,,,,
22133,-20131,3.98,,,,,
22176,-20174,3.80,,,,,
22218,-20216,3.38,,,,,
22261,-20259,3.73,,,,,
22303,-20301,3.24,,,,,
22346,-20344,3.30,,,,,
22389,-20387,3.03,,,,,
22431,-20429,3.26,,,,,
22474,-20472,3.17,,,,,
22517,-20515,2.78,,,,,
22559,-20557,2.95,,,,,
22602,-20600,2.61,,,,,
22645,-20643,2.72,,,,,
22687,-20685,2.71,,,,,
22730,-20728,2.37,,,,,
22773,-20771,2.25,,,,,
22815,-20813,2.33,,,,,
22858,-20856,2.32,,,,,
22900,-20898,2.14,,,,,
22943,-20941,2.79,,,,,
22986,-20984,2.37,,,,,
23028,-21026,2.50,,,,,
23071,-21069,2.31,,,,,
23114,-21112,2.26,,,,,
23156,-21154,2.20,,,,,
23199,-21197,2.09,,,,,
23242,-21240,2.20,,,,,
23284,-21282,2.22,,,,,
23327,-21325,1.90,,,,,
23370,-21368,1.89,,,,,
23412,-21410,2.13,,,,,
23455,-21453,2.10,,,,,
23497,-21495,2.22,,,,,
23540,-21538,2.16,,,,,
23583,-21581,2.28,,,,,
23625,-21623,2.27,,,,,
23668,-21666,2.12,,,,,
23711,-21709,2.27,,,,,
23753,-21751,2.18,,,,,
23796,-21794,2.34,,,,,
23839,-21837,2.63,,,,,
23881,-21879,2.40,,,,,
23924,-21922,2.20,,,,,
23967,-21965,2.26,,,,,
24009,-22007,2.26,,,,,
24052,-22050,2.19,,,,,
24094,-22092,2.01,,,,,
24137,-22135,1.93,,,,,
24180,-22178,1.97,,,,,
24222,-22220,2.18,,,,,
24265,-22263,2.27,,,,,
24308,-22306,2.54,,,,,
