"Age, ybp",Age (calender),BSi MAR (mgSiO2/cm2y),,,"Age, cal ybp",Age (calender),BSi MAR (mgSiO2/cm2y)
(Years before 2002),,,,,(Years before 2002),,
2158,-156,5.56,,,3522,-1520,5.34
2174,-172,6.48,,,3544,-1542,4.91
2190,-188,8.25,,,3567,-1565,6.50
2206,-204,8.93,,,3590,-1588,4.74
2222,-220,9.39,,,3612,-1610,6.68
2238,-236,7.61,,,3635,-1633,5.76
2254,-252,6.92,,,3657,-1655,7.66
2270,-268,6.52,,,3680,-1678,5.21
2286,-284,5.99,,,3702,-1700,4.69
2302,-300,7.89,,,3725,-1723,5.03
2318,-316,6.82,,,3747,-1745,7.30
2334,-332,6.81,,,3770,-1768,6.69
2349,-347,6.19,,,3793,-1791,6.12
2365,-363,7.99,,,3815,-1813,6.30
2381,-379,8.53,,,3838,-1836,5.08
2397,-395,7.25,,,3860,-1858,3.63
2413,-411,8.59,,,3883,-1881,5.92
2429,-427,7.69,,,3905,-1903,6.19
2445,-443,7.90,,,3928,-1926,5.57
2461,-459,6.77,,,3947,-1945,6.10
2477,-475,6.42,,,3966,-1964,
2493,-491,7.75,,,3985,-1983,
2509,-507,8.94,,,4004,-2002,
2525,-523,7.51,,,4022,-2020,
2541,-539,6.57,,,4041,-2039,
2557,-555,6.92,,,4060,-2058,
2573,-571,6.45,,,4079,-2077,
2589,-587,7.04,,,4098,-2096,
2605,-603,7.40,,,4117,-2115,
2621,-619,7.71,,,4136,-2134,
2637,-635,7.22,,,4155,-2153,
2653,-651,7.11,,,4173,-2171,
2669,-667,7.48,,,4192,-2190,
2685,-683,9.13,,,4211,-2209,
2701,-699,8.57,,,4230,-2228,
2717,-715,6.01,,,4249,-2247,7.28
2733,-731,6.31,,,4268,-2266,
2749,-747,7.10,,,4287,-2285,
2765,-763,7.68,,,4306,-2304,
2781,-779,7.54,,,4324,-2322,
2797,-795,7.93,,,4343,-2341,
2813,-811,8.65,,,4362,-2360,
2829,-827,7.73,,,4381,-2379,
2845,-843,7.41,,,4400,-2398,
2861,-859,7.53,,,4421,-2419,6.12
2877,-875,5.41,,,4442,-2440,7.06
2893,-891,6.18,,,4463,-2461,6.62
2909,-907,8.61,,,4484,-2482,6.65
2925,-923,8.89,,,4505,-2503,6.30
2941,-939,7.05,,,4526,-2524,6.30
2956,-954,9.37,,,4547,-2545,5.77
2972,-970,10.77,,,4568,-2566,5.79
2988,-986,9.97,,,4589,-2587,5.72
3004,-1002,8.68,,,4610,-2608,5.17
3020,-1018,8.79,,,4631,-2629,5.43
3036,-1034,6.85,,,4652,-2650,4.62
3052,-1050,8.87,,,4674,-2672,4.55
3068,-1066,9.49,,,4695,-2693,4.93
3084,-1082,7.10,,,4716,-2714,4.57
3100,-1098,7.50,,,4737,-2735,4.83
3116,-1114,8.39,,,4758,-2756,4.21
3132,-1130,9.51,,,4779,-2777,5.54
3148,-1146,7.35,,,4800,-2798,5.92
3164,-1162,7.86,,,4821,-2819,6.43
3180,-1178,8.13,,,4842,-2840,6.76
3196,-1194,8.03,,,4863,-2861,6.43
3212,-1210,6.52,,,4884,-2882,5.13
3228,-1226,8.58,,,4905,-2903,5.61
3244,-1242,10.55,,,4926,-2924,5.41
3260,-1258,10.01,,,4947,-2945,5.48
3276,-1274,6.62,,,4968,-2966,6.37
3292,-1290,8.86,,,4989,-2987,6.42
3308,-1306,7.76,,,5010,-3008,6.05
3324,-1322,7.64,,,5031,-3029,5.28
3340,-1338,9.94,,,5052,-3050,5.73
3356,-1354,8.61,,,5073,-3071,6.17
3372,-1370,7.35,,,5094,-3092,5.87
3388,-1386,11.20,,,5115,-3113,6.00
3404,-1402,8.93,,,5136,-3134,5.84
3420,-1418,5.69,,,5157,-3155,5.97
3436,-1434,11.71,,,5178,-3176,5.54
3452,-1450,8.51,,,5199,-3197,5.94
3468,-1466,9.64,,,5221,-3219,5.79
3484,-1482,6.82,,,5242,-3240,5.97
3500,-1498,8.61,,,5263,-3261,7.40
3516,-1514,9.65,,,5284,-3282,6.04
3532,-1530,8.69,,,5305,-3303,5.32
3548,-1546,9.79,,,5326,-3324,6.19
